Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:29:20 PM     all      1.13      0.00      0.40      3.53      0.00      0.00      0.02      0.00     94.92
09:29:22 PM     all      2.59      0.00      0.36      2.04      0.00      0.00      0.02      0.00     94.98
09:29:24 PM     all      2.82      0.00      0.23      0.11      0.00      0.00      0.00      0.00     96.84
09:29:26 PM     all      0.10      0.00      0.14      0.00      0.00      0.00      0.00      0.00     99.76
09:29:28 PM     all      0.58      0.00      0.56      0.02      0.00      0.00      0.00      0.00     98.85
09:29:30 PM     all      1.25      0.00      3.16      0.00      0.00      0.00      0.00      0.00     95.59
09:29:32 PM     all      2.21      0.00      2.23      0.06      0.00      0.00      0.00      0.00     95.50
09:29:34 PM     all      0.74      0.00      3.59      0.00      0.00      0.00      0.00      0.00     95.67
09:29:36 PM     all      2.06      0.00     18.57      0.04      0.00      0.00      0.00      0.00     79.33
09:29:38 PM     all      0.79      0.00     71.54      0.04      0.00      0.00      0.02      0.00     27.61
09:29:40 PM     all      3.60      0.00     70.84      0.00      0.00      0.00      0.00      0.00     25.56
09:29:42 PM     all      3.60      0.00     70.81      0.00      0.00      0.00      0.00      0.00     25.59
09:29:44 PM     all     16.93      0.00     55.73      0.00      0.00      0.00      0.00      0.00     27.33
09:29:46 PM     all     60.61      0.00      4.48      0.00      0.00      0.00      0.00      0.00     34.90
09:29:48 PM     all     62.49      0.00      7.21      0.00      0.00      0.00      0.00      0.00     30.30
09:29:50 PM     all      8.54      0.00      0.86      0.04      0.00      0.00      0.00      0.00     90.55
09:29:52 PM     all      3.31      0.00      2.69      0.00      0.00      0.00      0.00      0.00     94.00
09:29:54 PM     all     14.76      0.00      6.42      0.79      0.00      0.00      0.00      0.00     78.04
09:29:56 PM     all      2.12      0.00      8.09      0.00      0.00      0.00      0.00      0.00     89.79
09:29:58 PM     all     44.99      0.00      5.29      0.00      0.00      0.00      0.00      0.00     49.71
09:30:00 PM     all     60.09      0.00      4.44      0.00      0.00      0.00      0.00      0.00     35.47
09:30:02 PM     all     74.12      0.00      1.02      0.96      0.00      0.00      0.02      0.00     23.89
09:30:04 PM     all     30.39      0.00      1.29      0.00      0.00      0.00      0.00      0.00     68.32
09:30:06 PM     all      4.27      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.61
09:30:08 PM     all      0.53      0.00      3.72      0.00      0.00      0.00      0.00      0.00     95.75
09:30:10 PM     all      0.08      0.00      4.32      0.00      0.00      0.00      0.00      0.00     95.59
09:30:12 PM     all      0.12      0.00      4.22      0.00      0.00      0.00      0.00      0.00     95.65
09:30:14 PM     all      0.14      0.00      4.58      0.02      0.00      0.00      0.00      0.00     95.25
09:30:16 PM     all      0.53      0.00      4.82      0.02      0.00      0.00      0.00      0.00     94.63
09:30:18 PM     all      2.02      0.00      2.61      0.00      0.00      0.00      0.00      0.00     95.37
09:30:20 PM     all      4.17      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.68
09:30:22 PM     all      4.18      0.00      0.19      0.00      0.00      0.00      0.00      0.00     95.63
09:30:24 PM     all      0.24      0.00      4.30      0.00      0.00      0.00      0.00      0.00     95.46
09:30:26 PM     all      0.14      0.00      4.09      0.00      0.00      0.00      0.00      0.00     95.77
09:30:28 PM     all      0.13      0.00      4.38      0.00      0.00      0.00      0.00      0.00     95.49
09:30:30 PM     all      0.14      0.00      4.16      0.00      0.00      0.00      0.00      0.00     95.70
09:30:32 PM     all      1.17      0.00      3.22      0.00      0.00      0.00      0.00      0.00     95.62
09:30:34 PM     all      4.24      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.63
09:30:36 PM     all      4.30      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.57
09:30:38 PM     all      4.20      0.00      0.17      0.00      0.00      0.00      0.00      0.00     95.63
09:30:40 PM     all      2.27      0.00      2.16      0.02      0.00      0.00      0.00      0.00     95.55
09:30:42 PM     all      4.02      0.00      0.42      0.00      0.00      0.00      0.00      0.00     95.57
09:30:44 PM     all      4.16      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.72
09:30:46 PM     all      4.26      0.00      0.12      0.00      0.00      0.00      0.00      0.00     95.61
09:30:48 PM     all      4.29      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.56
09:30:50 PM     all      4.16      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.70
09:30:52 PM     all      2.87      0.00      1.65      0.00      0.00      0.00      0.00      0.00     95.48
09:30:54 PM     all      3.59      0.00      0.85      0.00      0.00      0.00      0.02      0.00     95.55
09:30:56 PM     all      4.20      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.66
09:30:58 PM     all      4.23      0.00      0.17      0.00      0.00      0.00      0.00      0.00     95.61
09:31:00 PM     all      4.29      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.56
09:31:02 PM     all      4.07      0.00      0.16      0.02      0.00      0.00      0.00      0.00     95.75
09:31:04 PM     all      4.29      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.56
09:31:06 PM     all      4.41      0.00      0.13      0.00      0.00      0.00      0.00      0.00     95.46
09:31:08 PM     all      4.16      0.00      0.14      0.00      0.00      0.00      0.00      0.00     95.70
09:31:10 PM     all      1.86      0.00      2.55      0.00      0.00      0.00      0.00      0.00     95.59
09:31:12 PM     all      0.13      0.00      4.30      0.00      0.00      0.00      0.00      0.00     95.57
09:31:14 PM     all      0.14      0.00      4.03      0.00      0.00      0.00      0.00      0.00     95.83
09:31:16 PM     all      0.26      0.00      4.28      0.04      0.00      0.00      0.00      0.00     95.42
09:31:18 PM     all      0.31      0.00      4.92      0.00      0.00      0.00      0.00      0.00     94.77
09:31:20 PM     all      0.08      0.00      4.29      0.00      0.00      0.00      0.00      0.00     95.63
09:31:22 PM     all      0.10      0.00      4.11      0.00      0.00      0.00      0.00      0.00     95.79
09:31:24 PM     all      0.07      0.00      6.15      0.00      0.00      0.00      0.00      0.00     93.78
09:31:26 PM     all      0.10      0.00      4.04      0.00      0.00      0.00      0.00      0.00     95.86
09:31:28 PM     all      1.51      0.00      2.97      0.00      0.00      0.00      0.00      0.00     95.52
09:31:30 PM     all      4.26      0.00      0.15      0.00      0.00      0.00      0.00      0.00     95.59
09:31:32 PM     all      8.67      0.00      0.35      0.00      0.00      0.00      0.00      0.00     90.98
09:31:34 PM     all      8.22      0.00      0.37      0.02      0.00      0.00      0.00      0.00     91.39
09:31:36 PM     all      8.49      0.00      0.15      0.00      0.00      0.00      0.02      0.00     91.34
09:31:38 PM     all      8.16      0.00      0.14      0.00      0.00      0.00      0.00      0.00     91.70
09:31:40 PM     all      3.24      0.00      5.18      0.00      0.00      0.00      0.00      0.00     91.58
09:31:42 PM     all      4.20      0.00      4.31      0.00      0.00      0.00      0.00      0.00     91.49
09:31:44 PM     all      4.11      0.00      4.22      0.00      0.00      0.00      0.00      0.00     91.67
09:31:46 PM     all      4.28      0.00      4.35      0.00      0.00      0.00      0.00      0.00     91.37
09:31:48 PM     all      4.32      0.00      4.36      0.00      0.00      0.00      0.00      0.00     91.33
09:31:50 PM     all      4.11      0.00      4.21      0.00      0.00      0.00      0.00      0.00     91.68
09:31:52 PM     all      4.35      0.00      4.41      0.00      0.00      0.00      0.00      0.00     91.24
09:31:54 PM     all      4.23      0.00      4.29      0.00      0.00      0.00      0.00      0.00     91.48
09:31:56 PM     all      4.20      0.00      4.27      0.02      0.00      0.00      0.02      0.00     91.49
09:31:58 PM     all      4.16      0.00      4.26      0.00      0.00      0.00      0.00      0.00     91.58
09:32:00 PM     all      4.31      0.00      4.35      0.00      0.00      0.00      0.00      0.00     91.35
09:32:02 PM     all      4.10      0.00      4.18      0.00      0.00      0.00      0.00      0.00     91.72
09:32:04 PM     all      4.42      0.00      4.51      0.00      0.00      0.00      0.00      0.00     91.07
09:32:06 PM     all      4.20      0.00      4.31      0.00      0.00      0.00      0.00      0.00     91.49
